State,County,Year,Poverty Rate
Minnesota,Aitkin County,2018,12.96
Minnesota,Aitkin County,2017,12.65
Minnesota,Aitkin County,2016,12.66
Minnesota,Aitkin County,2015,12.55
Minnesota,Aitkin County,2014,12.43
Minnesota,Aitkin County,2013,12.36
Minnesota,Aitkin County,2012,12.54
Minnesota,Aitkin County,2011,12.55
Minnesota,Aitkin County,2010,12.55
Minnesota,Aitkin County,2009,12.81
Minnesota,Anoka County,2018,12.83
Minnesota,Anoka County,2017,6.55
Minnesota,Anoka County,2016,7.26
Minnesota,Anoka County,2015,7.56
Minnesota,Anoka County,2014,7.73
Minnesota,Anoka County,2013,7.73
Minnesota,Anoka County,2012,7.1
Minnesota,Anoka County,2011,7.11
Minnesota,Anoka County,2010,7.11
Minnesota,Anoka County,2009,7.11
Minnesota,Becker County,2018,7.11
Minnesota,Becker County,2017,12.61
Minnesota,Becker County,2016,12.76
Minnesota,Becker County,2015,12.73
Minnesota,Becker County,2014,12.76
Minnesota,Becker County,2013,12.58
Minnesota,Becker County,2012,11.73
Minnesota,Becker County,2011,11.81
Minnesota,Becker County,2010,11.81
Minnesota,Becker County,2009,10.58
Minnesota,Beltrami County,2018,10.41
Minnesota,Beltrami County,2017,18.81
Minnesota,Beltrami County,2016,19.06
Minnesota,Beltrami County,2015,18.88
Minnesota,Beltrami County,2014,18.83
Minnesota,Beltrami County,2013,19.15
Minnesota,Beltrami County,2012,20.32
Minnesota,Beltrami County,2011,20.67
Minnesota,Beltrami County,2010,20.67
Minnesota,Beltrami County,2009,20.67
Minnesota,Benton County,2018,12.51
Minnesota,Benton County,2017,13.38
Minnesota,Benton County,2016,13.57
Minnesota,Benton County,2015,13.77
Minnesota,Benton County,2014,14.85
Minnesota,Benton County,2013,14.85
Minnesota,Benton County,2012,14.42
Minnesota,Benton County,2011,14.55
Minnesota,Benton County,2010,11.0
Minnesota,Benton County,2009,11.27
Minnesota,Big Stone County,2018,5.97
Minnesota,Big Stone County,2017,11.42
Minnesota,Big Stone County,2016,11.36
Minnesota,Big Stone County,2015,11.34
Minnesota,Big Stone County,2014,14.15
Minnesota,Big Stone County,2013,13.95
Minnesota,Big Stone County,2012,12.85
Minnesota,Big Stone County,2011,12.88
Minnesota,Big Stone County,2010,12.88
Minnesota,Big Stone County,2009,12.88
Minnesota,Blue Earth County,2018,38.24
Minnesota,Blue Earth County,2017,18.09
Minnesota,Blue Earth County,2016,18.23
Minnesota,Blue Earth County,2015,18.44
Minnesota,Blue Earth County,2014,19.09
Minnesota,Blue Earth County,2013,18.53
Minnesota,Blue Earth County,2012,17.46
Minnesota,Blue Earth County,2011,19.36
Minnesota,Blue Earth County,2010,19.36
Minnesota,Blue Earth County,2009,19.36
Minnesota,Brown County,2018,4.05
Minnesota,Brown County,2017,7.8
Minnesota,Brown County,2016,8.03
Minnesota,Brown County,2015,7.98
Minnesota,Brown County,2014,7.83
Minnesota,Brown County,2013,7.81
Minnesota,Brown County,2012,9.0
Minnesota,Brown County,2011,9.0
Minnesota,Brown County,2010,9.0
Minnesota,Brown County,2009,9.0
Minnesota,Carlton County,2018,15.44
Minnesota,Carlton County,2017,12.05
Minnesota,Carlton County,2016,13.04
Minnesota,Carlton County,2015,13.07
Minnesota,Carlton County,2014,13.73
Minnesota,Carlton County,2013,13.74
Minnesota,Carlton County,2012,11.94
Minnesota,Carlton County,2011,11.94
Minnesota,Carlton County,2010,11.94
Minnesota,Carlton County,2009,11.94
Minnesota,Carver County,2018,11.86
Minnesota,Carver County,2017,3.99
Minnesota,Carver County,2016,4.05
Minnesota,Carver County,2015,4.11
Minnesota,Carver County,2014,4.4
Minnesota,Carver County,2013,4.4
Minnesota,Carver County,2012,5.15
Minnesota,Carver County,2011,5.17
Minnesota,Carver County,2010,5.17
Minnesota,Carver County,2009,5.17
Minnesota,Cass County,2018,14.52
Minnesota,Cass County,2017,14.55
Minnesota,Cass County,2016,15.84
Minnesota,Cass County,2015,16.1
Minnesota,Cass County,2014,16.58
Minnesota,Cass County,2013,16.58
Minnesota,Cass County,2012,16.47
Minnesota,Cass County,2011,16.46
Minnesota,Cass County,2010,16.46
Minnesota,Cass County,2009,16.46
Minnesota,Chippewa County,2018,6.8
Minnesota,Chippewa County,2017,9.94
Minnesota,Chippewa County,2016,10.83
Minnesota,Chippewa County,2015,10.82
Minnesota,Chippewa County,2014,12.1
Minnesota,Chippewa County,2013,11.0
Minnesota,Chippewa County,2012,9.52
Minnesota,Chippewa County,2011,9.45
Minnesota,Chippewa County,2010,9.45
Minnesota,Chippewa County,2009,9.45
Minnesota,Chisago County,2018,6.08
Minnesota,Chisago County,2017,5.6
Minnesota,Chisago County,2016,5.97
Minnesota,Chisago County,2015,5.85
Minnesota,Chisago County,2014,5.52
Minnesota,Chisago County,2013,6.14
Minnesota,Chisago County,2012,7.53
Minnesota,Chisago County,2011,7.61
Minnesota,Chisago County,2010,7.61
Minnesota,Chisago County,2009,7.61
Minnesota,Clay County,2018,12.32
Minnesota,Clay County,2017,11.74
Minnesota,Clay County,2016,11.92
Minnesota,Clay County,2015,12.25
Minnesota,Clay County,2014,12.65
